config_id,model_family,data_type,hp_desired_time_headway,hp_max_acceleration,hp_comfort_deceleration,hp_speed_limit_factor,hp_k_lateral,hp_repulsion_strength,hp_interaction_sigma,hp_relaxation_time,hp_stage,hp_module,hp_variant,safety_score,efficiency_score,comfort_score,compliance_score,interaction_score,avg_velocity,max_acceleration,jerk_mean,jerk_max,ttc_mean,ttc_min,collision_ratio,num_interventions,num_traffic_violations,mean_l2_error,max_l2_error,odd_cosine
idm_000,IDM,simulated_closed_loop,0.5000,1.0000,1.0000,,,,,,,,,97.6700,47.6400,85.0200,100.0000,74.8400,9.7476,1.8110,0.2069,3.7426,90.7185,70.1387,0.0000,0.4000,0.0000,42.2199,99.8602,0.7484
idm_001,IDM,simulated_closed_loop,0.5000,1.0000,3.0000,,,,,,,,,97.8000,47.6600,85.8000,100.0000,74.8400,9.7774,1.7643,0.1976,3.4843,90.4598,70.0557,0.0000,0.2000,0.0000,42.5618,100.4377,0.7484
idm_002,IDM,simulated_closed_loop,0.5000,1.0000,4.0000,,,,,,,,,97.7700,47.6600,85.5600,100.0000,74.8400,9.7814,1.7835,0.1992,3.4924,90.3944,70.0405,0.0000,0.2000,0.0000,42.6071,100.5129,0.7484
idm_003,IDM,simulated_closed_loop,0.5000,2.0000,1.0000,,,,,,,,,97.8600,48.4400,82.3600,100.0000,74.8400,11.3499,1.9389,0.2471,3.7539,91.1029,79.9815,0.0000,0.4000,0.0000,60.3281,130.3954,0.7484
idm_004,IDM,simulated_closed_loop,0.5000,2.0000,2.0000,,,,,,,,,98.3200,48.4300,81.9200,100.0000,74.8400,11.3623,1.9891,0.2459,3.9242,91.0045,79.9403,0.0000,0.0000,0.0000,60.4782,130.6914,0.7484
idm_005,IDM,simulated_closed_loop,0.5000,2.0000,3.0000,,,,,,,,,98.3700,48.4300,81.1700,100.0000,74.8400,11.3665,2.0471,0.2515,3.9641,91.1000,79.9170,0.0000,0.0000,0.0000,60.5372,130.8217,0.7484
idm_006,IDM,simulated_closed_loop,0.5000,2.0000,4.0000,,,,,,,,,98.3500,48.4200,80.6800,100.0000,74.8400,11.3686,2.0864,0.2550,4.0523,91.0598,79.9041,0.0000,0.0000,0.0000,60.5680,130.8967,0.7484
idm_007,IDM,simulated_closed_loop,0.5000,3.0000,4.0000,,,,,,,,,88.1100,46.8800,62.7800,100.0000,74.8400,11.7176,3.3437,0.4206,7.0239,91.1080,79.9135,0.1000,0.2000,0.0000,66.9243,139.0497,0.7484
idm_008,IDM,simulated_closed_loop,0.5000,4.0000,2.0000,,,,,,,,,87.8700,46.1600,50.8300,100.0000,74.8400,11.9273,4.0607,0.5632,8.8542,91.1357,79.9452,0.1000,0.4000,0.0000,70.4436,142.9831,0.7484
idm_009,IDM,simulated_closed_loop,0.5000,4.0000,3.0000,,,,,,,,,88.0500,46.1700,53.7000,100.0000,74.8400,11.9319,3.9976,0.5007,8.8086,90.9685,79.9374,0.1000,0.2000,0.0000,70.4840,143.0737,0.7484
idm_010,IDM,simulated_closed_loop,1.0000,1.0000,1.0000,,,,,,,,,97.5600,47.5300,83.5900,100.0000,74.8400,9.7161,1.8959,0.2242,3.9447,90.7564,70.1740,0.0000,0.5000,0.0000,41.9953,99.3805,0.7484
idm_011,IDM,simulated_closed_loop,1.0000,1.0000,2.0000,,,,,,,,,97.7700,47.4700,85.5400,100.0000,74.8400,9.7185,1.7567,0.2067,3.5843,90.3924,70.1226,0.0000,0.2000,0.0000,42.1129,99.4591,0.7484
idm_012,IDM,simulated_closed_loop,1.0000,1.0000,4.0000,,,,,,,,,97.7300,47.4200,85.9000,100.0000,74.8400,9.7149,1.7389,0.2016,3.4089,90.3176,70.0846,0.0000,0.2000,0.0000,42.1479,99.4230,0.7484
idm_013,IDM,simulated_closed_loop,1.0000,2.0000,1.0000,,,,,,,,,97.8000,48.1900,72.8600,100.0000,74.8400,11.2956,2.6358,0.3273,5.5433,90.9815,80.0233,0.0000,0.4000,0.0000,60.0269,129.9394,0.7484
idm_014,IDM,simulated_closed_loop,1.0000,2.0000,2.0000,,,,,,,,,98.1200,48.1800,75.1700,100.0000,74.8400,11.3071,2.4849,0.3029,5.1370,90.8538,79.9948,0.0000,0.1000,0.0000,60.1669,130.1990,0.7484
idm_015,IDM,simulated_closed_loop,1.0000,2.0000,3.0000,,,,,,,,,98.0900,48.1800,75.3800,100.0000,74.8400,11.3111,2.4789,0.2988,5.0631,90.8001,79.9702,0.0000,0.1000,0.0000,60.2256,130.3138,0.7484
idm_016,IDM,simulated_closed_loop,1.0000,3.0000,1.0000,,,,,,,,,87.6300,46.7800,61.3500,100.0000,74.8400,11.6711,3.3553,0.4570,7.2305,90.8952,80.0187,0.1000,0.5000,0.0000,66.4997,138.1541,0.7484
idm_017,IDM,simulated_closed_loop,1.0000,3.0000,2.0000,,,,,,,,,87.9400,46.7900,64.6400,100.0000,74.8400,11.6811,3.2311,0.3986,6.8059,90.7447,79.9994,0.1000,0.2000,0.0000,66.6051,138.3655,0.7484
idm_018,IDM,simulated_closed_loop,1.0000,3.0000,4.0000,,,,,,,,,87.9400,46.7900,65.1500,100.0000,74.8400,11.6870,3.2088,0.3906,6.9109,90.7531,79.9764,0.1000,0.2000,0.0000,66.6769,138.5141,0.7484
idm_019,IDM,simulated_closed_loop,1.0000,4.0000,1.0000,,,,,,,,,87.3300,46.0800,45.0500,100.0000,74.8400,11.8903,4.2216,0.6805,9.2868,91.3428,80.0121,0.1000,0.9000,0.0000,70.1101,142.2692,0.7484
idm_020,IDM,simulated_closed_loop,1.0000,4.0000,2.0000,,,,,,,,,87.9900,46.0900,50.5800,100.0000,74.8400,11.8977,3.9930,0.5876,8.6691,91.1149,79.9935,0.1000,0.3000,0.0000,70.1940,142.4520,0.7484
idm_021,IDM,simulated_closed_loop,1.0000,4.0000,4.0000,,,,,,,,,88.0900,46.0700,51.0900,100.0000,74.8400,11.9006,3.9990,0.5721,8.5170,91.0602,79.9696,0.1000,0.2000,0.0000,70.2482,142.5807,0.7484
idm_022,IDM,simulated_closed_loop,1.5000,1.0000,3.0000,,,,,,,,,97.7000,47.2100,85.6800,100.0000,74.8400,9.6490,1.7353,0.2084,3.6236,90.2587,70.1420,0.0000,0.2000,0.0000,41.6472,98.3826,0.7484
idm_023,IDM,simulated_closed_loop,1.5000,1.0000,4.0000,,,,,,,,,97.6800,47.1800,85.8700,100.0000,74.8400,9.6457,1.7255,0.2059,3.5421,90.2227,70.1265,0.0000,0.2000,0.0000,41.6495,98.3499,0.7484
idm_024,IDM,simulated_closed_loop,1.5000,2.0000,3.0000,,,,,,,,,98.0000,48.0100,74.9000,100.0000,74.8400,11.2677,2.5048,0.3051,5.0097,90.6115,80.0199,0.0000,0.1000,0.0000,59.9357,129.7558,0.7484
idm_025,IDM,simulated_closed_loop,1.5000,3.0000,4.0000,,,,,,,,,87.8600,46.6700,64.1700,100.0000,74.8400,11.6485,3.2025,0.4190,6.9248,90.5902,80.0233,0.1000,0.2000,0.0000,66.3832,137.9296,0.7484
idm_026,IDM,simulated_closed_loop,1.5000,4.0000,3.0000,,,,,,,,,88.2200,45.9200,42.4800,100.0000,74.8400,11.8548,4.3508,0.7177,9.2477,91.5852,80.0233,0.1000,0.3000,0.0000,69.9105,141.9486,0.7484
idm_027,IDM,simulated_closed_loop,2.0000,1.0000,1.0000,,,,,,,,,97.3500,47.1500,79.8300,100.0000,74.8400,9.6020,2.1388,0.2645,4.4305,90.3238,70.1740,0.0000,0.5000,0.0000,41.1644,97.6996,0.7484
idm_028,IDM,simulated_closed_loop,2.0000,2.0000,2.0000,,,,,,,,,97.8600,47.8800,70.6100,100.0000,74.8400,11.2237,2.7818,0.3511,5.5638,90.5811,80.0233,0.0000,0.2000,0.0000,59.6004,129.1257,0.7484
idm_029,IDM,simulated_closed_loop,2.0000,2.0000,3.0000,,,,,,,,,97.9800,47.7900,72.3400,100.0000,74.8400,11.2179,2.6805,0.3298,5.3610,90.5765,80.0233,0.0000,0.1000,0.0000,59.6422,129.1858,0.7484
idm_030,IDM,simulated_closed_loop,2.0000,3.0000,2.0000,,,,,,,,,87.8200,46.5900,53.4500,100.0000,74.8400,11.6099,3.6207,0.6054,8.0254,91.2951,80.0233,0.1000,0.5000,0.0000,66.0368,137.2408,0.7484
idm_031,IDM,simulated_closed_loop,2.0000,3.0000,3.0000,,,,,,,,,88.2100,46.5400,55.6500,100.0000,74.8400,11.6066,3.5059,0.5750,7.5569,91.3004,80.0233,0.1000,0.2000,0.0000,66.0583,137.2975,0.7484
idm_032,IDM,simulated_closed_loop,2.0000,4.0000,2.0000,,,,,,,,,87.8300,45.7600,28.8200,100.0000,74.8400,11.8083,4.6513,1.0157,9.8391,92.0954,80.0233,0.1000,0.8000,0.0000,69.5772,141.3022,0.7484
idm_033,IDM,simulated_closed_loop,2.5000,1.0000,1.0000,,,,,,,,,96.9800,46.9300,77.2900,100.0000,74.8400,9.5429,2.3141,0.2889,4.8180,89.8291,70.1740,0.0000,0.6000,0.0000,40.7618,96.9326,0.7484
idm_034,IDM,simulated_closed_loop,2.5000,1.0000,3.0000,,,,,,,,,97.6000,46.7800,81.8700,100.0000,74.8400,9.5171,2.0065,0.2429,4.1772,90.0474,70.1623,0.0000,0.2000,0.0000,40.6727,96.6104,0.7484
idm_035,IDM,simulated_closed_loop,2.5000,2.0000,2.0000,,,,,,,,,97.2500,47.6100,67.3100,100.0000,74.8400,11.1723,2.9972,0.3860,6.2041,89.8651,80.0233,0.0000,0.4000,0.0000,59.3613,128.6658,0.7484
idm_036,IDM,simulated_closed_loop,2.5000,2.0000,4.0000,,,,,,,,,97.5800,47.4500,70.1300,100.0000,74.8400,11.1582,2.8193,0.3547,6.0124,90.0062,80.0233,0.0000,0.2000,0.0000,59.4037,128.7090,0.7484
idm_037,IDM,simulated_closed_loop,2.5000,3.0000,2.0000,,,,,,,,,87.7800,46.4000,43.7500,100.0000,74.8400,11.5683,3.9249,0.7935,8.7217,91.7378,80.0233,0.1000,0.7000,0.0000,65.7951,136.7560,0.7484
idm_038,IDM,simulated_closed_loop,2.5000,3.0000,4.0000,,,,,,,,,88.1100,46.2800,51.0100,100.0000,74.8400,11.5549,3.7211,0.6467,7.8565,91.3666,80.0233,0.1000,0.3000,0.0000,65.8079,136.7916,0.7484
idm_039,IDM,simulated_closed_loop,2.5000,4.0000,3.0000,,,,,,,,,88.0100,45.4500,27.0300,100.0000,74.8400,11.7521,4.6516,1.0650,10.7670,92.4742,80.0233,0.1000,0.8000,0.0000,69.3428,140.8172,0.7484
idm_040,IDM,simulated_closed_loop,3.0000,1.0000,2.0000,,,,,,,,,97.1900,46.6000,77.7800,100.0000,74.8400,9.4601,2.2991,0.2793,4.7624,89.7292,70.1740,0.0000,0.4000,0.0000,40.2427,95.9164,0.7484
idm_041,IDM,simulated_closed_loop,3.0000,1.0000,4.0000,,,,,,,,,97.4500,46.5200,79.9500,100.0000,74.8400,9.4517,2.1565,0.2568,4.4773,89.7453,70.1616,0.0000,0.2000,0.0000,40.2414,95.8987,0.7484
idm_042,IDM,simulated_closed_loop,3.0000,2.0000,2.0000,,,,,,,,,97.4200,47.2800,62.4000,100.0000,74.8400,11.1267,3.2396,0.4581,7.1915,90.2091,80.0233,0.0000,0.4000,0.0000,59.2696,128.4119,0.7484
idm_043,IDM,simulated_closed_loop,3.0000,2.0000,3.0000,,,,,,,,,97.4200,47.2600,64.8400,100.0000,74.8400,11.1236,3.1132,0.4238,6.8182,89.9504,80.0233,0.0000,0.3000,0.0000,59.2598,128.3758,0.7484
idm_044,IDM,simulated_closed_loop,3.0000,2.0000,4.0000,,,,,,,,,97.2900,47.2400,66.5500,100.0000,74.8400,11.1211,3.0418,0.3952,6.5753,89.6800,80.0233,0.0000,0.3000,0.0000,59.2569,128.3607,0.7484
idm_045,IDM,simulated_closed_loop,3.0000,3.0000,1.0000,,,,,,,,,87.3500,46.1600,33.4200,100.0000,74.8400,11.5386,4.1564,1.0178,9.3906,92.1665,80.0233,0.1000,1.2000,0.0000,65.7802,136.7218,0.7484
idm_046,IDM,simulated_closed_loop,3.0000,3.0000,3.0000,,,,,,,,,88.0400,45.9700,39.2500,100.0000,74.8400,11.5133,3.9593,0.9085,8.4764,92.0145,80.0233,0.1000,0.6000,0.0000,65.7480,136.6253,0.7484
idm_047,IDM,simulated_closed_loop,3.0000,4.0000,1.0000,,,,,,,,,87.6700,45.1700,14.6900,100.0000,74.8400,11.7210,4.9172,1.3357,11.3454,93.0908,80.0233,0.1000,1.3000,0.0000,69.3549,140.8271,0.7484
idm_048,IDM,simulated_closed_loop,3.0000,4.0000,2.0000,,,,,,,,,87.8300,45.1900,19.6900,100.0000,74.8400,11.7198,4.7647,1.2375,10.9840,92.8933,80.0233,0.1000,1.1000,0.0000,69.3226,140.7718,0.7484
idm_049,IDM,simulated_closed_loop,3.0000,4.0000,4.0000,,,,,,,,,88.1800,45.1800,23.1700,100.0000,74.8400,11.7176,4.6730,1.1656,10.7185,92.8289,80.0233,0.1000,0.8000,0.0000,69.3095,140.7406,0.7484
pdm_000,PDM,simulated_closed_loop,,3.0000,1.0000,0.6000,0.5000,,,,,,,71.7300,35.1200,19.2200,0.0000,86.5300,6.9493,4.8535,1.2275,11.4148,89.8467,50.4925,0.2000,4.7000,0.2000,26.2266,52.6862,0.8653
pdm_001,PDM,simulated_closed_loop,,3.0000,4.0000,0.6000,0.5000,,,,,,,73.3100,35.8800,27.5000,0.0000,86.5300,7.0395,4.2687,1.1515,9.7378,91.2470,50.5561,0.2000,4.0000,0.2000,26.2392,51.9990,0.8653
